infrastructure @ /home/caillot/Documents/Dataset/CARLA_Dataset_B/./I000/
         3123406 function calls (3085231 primitive calls) in 4.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    1.489    0.015    1.489    0.015 {imread}
      184    0.492    0.003    0.495    0.003 {built-in method _imp.create_dynamic}
   145810    0.168    0.000    0.169    0.000 {built-in method numpy.array}
    44550    0.166    0.000    0.399    0.000 Tmat.py:70(__mul__)
     1048    0.088    0.000    0.088    0.000 {built-in method marshal.loads}
     3168    0.082    0.000    0.118    0.000 {method 'as_euler' of 'scipy.spatial.transform.rotation.Rotation' objects}
137047/133894    0.053    0.000    0.257    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3766    0.050    0.000    0.053    0.000 decoder.py:343(raw_decode)
     3168    0.048    0.000    0.066    0.000 {built-in method from_euler}
     3907    0.048    0.000    0.058    0.000 {built-in method io.open}
   117810    0.047    0.000    0.198    0.000 <__array_function__ internals>:2(transpose)
     1782    0.045    0.000    1.051    0.001 projector.py:28(projector_filter)
    57024    0.038    0.000    0.192    0.000 vector.py:193(__init__)
   118800    0.038    0.000    0.074    0.000 fromnumeric.py:55(_wrapfunc)
    43857    0.034    0.000    0.039    0.000 vector.py:17(set)
19800/3960    0.033    0.000    0.091    0.000 copy.py:128(deepcopy)
     1881    0.032    0.000    0.431    0.000 agent.py:34(get_state)
   117810    0.032    0.000    0.104    0.000 fromnumeric.py:603(transpose)
     3168    0.029    0.000    0.037    0.000 {built-in method from_matrix}
2677/2568    0.028    0.000    0.097    0.000 {built-in method builtins.__build_class__}
    14256    0.028    0.000    0.028    0.000 vector.py:50(get_normalized)
     1782    0.027    0.000    0.097    0.000 bbox.py:57(get_pts)
     3168    0.024    0.000    0.254    0.000 Tmat.py:23(handinessLeft2Right)
       99    0.023    0.000    3.113    0.031 agent.py:100(get_visible_bbox)
    32076    0.023    0.000    0.118    0.000 vector.py:171(__init__)
   117810    0.023    0.000    0.023    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   1745/1    0.022    0.000    4.400    4.400 {built-in method builtins.exec}
     1455    0.022    0.000    0.022    0.000 {method 'read' of '_io.BufferedReader' objects}
   158809    0.021    0.000    0.022    0.000 {built-in method builtins.getattr}
        1    0.021    0.021    4.400    4.400 agent.py:1(<module>)
        5    0.018    0.004    0.018    0.004 {built-in method _ctypes.dlopen}
     1089    0.017    0.000    0.081    0.000 bbox.py:74(set_from_pts)
      375    0.017    0.000    0.048    0.000 doccer.py:10(docformat)
     5150    0.016    0.000    0.024    0.000 twodim_base.py:154(eye)
     6811    0.016    0.000    0.016    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1782    0.016    0.000    0.030    0.000 linalg.py:486(inv)
      486    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
       13    0.015    0.001    0.015    0.001 {built-in method posix.read}
     2467    0.015    0.000    0.025    0.000 inspect.py:625(cleandoc)
        7    0.015    0.002    0.015    0.002 {built-in method _posixsubprocess.fork_exec}
     4370    0.014    0.000    0.068    0.000 copy.py:258(_reconstruct)
    24080    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
    19998    0.014    0.000    0.072    0.000 vector.py:155(__init__)
     3765    0.013    0.000    0.020    0.000 {method 'read' of '_io.TextIOWrapper' objects}
  184/137    0.013    0.000    0.042    0.000 {built-in method _imp.exec_dynamic}
166669/164968    0.013    0.000    0.013    0.000 {built-in method builtins.len}
   117810    0.012    0.000    0.012    0.000 fromnumeric.py:599(_transpose_dispatcher)
     4939    0.012    0.000    0.012    0.000 {built-in method posix.stat}
    14256    0.012    0.000    0.088    0.000 vector.py:180(nvec2)
    93905    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
     1419    0.011    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
     1869    0.011    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      990    0.011    0.000    0.039    0.000 arraysetops.py:297(_unique1d)
    17514    0.010    0.000    0.065    0.000 re.py:289(_compile)
    14256    0.010    0.000    0.056    0.000 vector.py:203(vec3)
   144794    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
  897/239    0.010    0.000    0.025    0.000 sre_parse.py:493(_parse)
    14256    0.010    0.000    0.056    0.000 vector.py:174(vec4)
     1048    0.010    0.000    0.010    0.000 {built-in method io.open_code}
     1782    0.009    0.000    0.066    0.000 projector.py:36(<listcomp>)
      939    0.009    0.000    0.009    0.000 {method 'search' of 're.Pattern' objects}
      682    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
    30789    0.009    0.000    0.009    0.000 vector.py:38(z)
    11880    0.008    0.000    0.011    0.000 copy.py:242(_keep_alive)
     1783    0.008    0.000    0.069    0.000 agent.py:16(__init__)
      384    0.008    0.000    0.014    0.000 doccer.py:177(indentcount_lines)
     3764    0.008    0.000    0.100    0.000 __init__.py:274(load)
     5150    0.008    0.000    0.037    0.000 numeric.py:2066(identity)
     1089    0.007    0.000    0.028    0.000 vector.py:81(__add__)
     6712    0.007    0.000    0.026    0.000 fromnumeric.py:73(_wrapreduction)
     5155    0.007    0.000    0.007    0.000 {built-in method numpy.zeros}
     8789    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
